"Question","Answer"
"Nk'uko mudushikariza kwisabira serivisi ku Irembo, nabigerageze nsaba passport ariko ndi gushyiraho ifoto ntibikunde bakambwira ko ari nini. Ndabigenza nte?","Reba amabwiriza yifoto isabwa kuri Irembo, ushyireho ifoto mu bipimo byemewe maze usabe kongera gutunganya ubusabe bwawe."
"Kubera iki umuntu asaba icyemezo cy'uko ari ingaragu bakamusaba kuzana icyemezo kerekana ko ari ingaragu akuye mu mudugudu?","Icyo kibazo giterwa n'uburyo bwo kugenzura aho umuntu aturuka; nyamuneka saba ibisobanuro byimbitse kugira ngo wumve neza ibisabwa."
"Ubusanzwe pasiporo itwara igihe kingana gute ko mbona iyanjye yatinze?","Pasiporo isaba igihe gito kijyanye n'ubushobozi bwa sisitemu; ushobora kubaza serivisi zacu kugira ngo umenye igihe nyacyo bizatwara."
"Numvise ko ku Irembo mushobora kumfasha kubona diplome ifite agaciro ko mu Rwanda kuko njye nize muri Israel. Bigenda gute?","Saba gahunda zacu zunganira aho usaba diplome, maze ubone ubufasha mu buryo bwemewe kandi bwihuse bwa Irembo."
"Muraho! Ni gute umuntu yabona icyemezo cy'ubushinjacyaha mu gihe agikeneye?","Nyamuneka saba icyemezo gishyashya cy’ubutaka mu biro byacu cyangwa ukoreshe serivisi zacu kuri Irembo zifasha kuvugurura inyandiko."
"Nagiye gusaba akazi muri RBA bansaba icyemezo cy'amavuko kandi njyewe nsanze acte de naissance, nayo ubwo ntibayemera?","Tegereza gato cyangwa uhamagare serivisi zacu kugira ngo utange ikibazo cyawe ku bijyanye no kwishyura neza."
"Mfite uruhushya rwo gutwara imodoka, ndashaka urundi ruhushya rwo gutwara moto. Ndaca mu zihe nzira?","Nyamuneka saba icyemezo gishyashya cy’ubutaka mu biro byacu cyangwa ukoreshe serivisi zacu kuri Irembo zifasha kuvugurura inyandiko."
"Mfite ikibanza kinini naguze hariya Rusororo. Ariko ndashaka kukigabanyamo kabiri hamwe nkazaturamo ahandi nkazubakamo amazu akodeshwa. Bambwiye ko mbisabira ku Irembo, mwamfasha kumenya icyo bisaba? ","Saba amakuru y'aho icyangombwa kiri anyuze mu murongo w'ubufasha kuri Irembo, maze usuzume uko byagenze mu buryo bw'umwuga."
"Ndangije kwiga secondaire, ndashaka guhita nkorera perimi mu gihe ntaratangira kwiga. Mwamfasha mu nzira nanyuramo?","Nyamuneka saba icyemezo gishyashya cy’ubutaka mu biro byacu cyangwa ukoreshe serivisi zacu kuri Irembo zifasha kuvugurura inyandiko."
"Ku kazi badusabye icyemezo cy'uko tutafunzwe. Natanze icyemezo gisanzwe nakuye muri parike umwaka ushize baracyanga. Mwamenyera neza iki cyemezo kimara igihe kingana gute mu by'ukuri ndetse n'uko nabigenza ngo mbone icyemezo gishya?","Tegereza gato cyangwa uhamagare serivisi zacu kugira ngo utange ikibazo cyawe ku bijyanye no kwishyura neza."
"Ejo banyibye ibyangombwa byanjye birimo perimi n'indangamuntu. Ubu koko naca mu zihe nzira ngo mbone ibindi byangombwa?","Nyamuneka saba icyemezo gishyashya cy’ubutaka mu biro byacu cyangwa ukoreshe serivisi zacu kuri Irembo zifasha kuvugurura inyandiko."
