"Question","Answer"
"Nifuzaga kumenya aho icyangombwa cyanjye cy'ubutaka kigeze kuko twakoze mutation ukwezi gushize kandi sindabona icyangombwa cyanjye","Ushobora gukurikirana aho ubusabe bwawe bugeze kuri konti yawe ya Irembo ukoresheje numero ya dosiye wahawe. Niba utayibona, hamagara serivisi z'abakiriya ba Irembo cyangwa uwegere ikigo gishinzwe ubutaka."
"Mvuye mu kizamini ariko nahise nzimya machine ntabonye amanota yanjye, mwamfasha kuyamenya","Amanota y'ibizamini bya permit ubusanzwe yoherezwa kuri telefone wandikishije cyangwa kuri email. Niba utayabonye, injira kuri konti yawe ya Irembo cyangwa uhamagare umurongo w'ubufasha kugira ngo barebe uko byagenze."
"Kubera iki umuntu akenera icyemezo cy'uko ari ho kandi mumubona ko ari muzima?","Icyemezo cy'uko uriho kiba gikenewe n'inzego zimwe na zimwe (nka banki, ubwishingizi, n'ibindi) kugira ngo zemeze ko umuntu akiriho, cyane cyane mu bijyanye n'imicungire y'umutungo cyangwa ubwiteganyirize. Ni inyandiko yemewe n'amategeko."
"Bitewe n'uko mbona serivisi z'Irembo ari ingenzi cyane kandi hano mu gace kacu nta bantu dufite badufasha kuzibona, ndashaka kuzajya mbikorera bagenzi. Ni gute nabona compte nanjye nkajya nsabira abantu serivisi.","Kugira ngo ube umu agent wa Irembo ugomba kubanza kubisaba. Gana ku rubuga rwa Irembo ushake amakuru ajyanye no kuba umu agent cyangwa uhamagare serivisi z'abakiriya babo bakuyobore ku bisabwa n'inzira zikurikizwa."
"Nk'uko mudushikariza kwisabira serivisi ku Irembo, nabigerageze nsaba passport ariko ndi gushyiraho ifoto ntibikunda bakambwira ko ari nini. Ndabigenza nte?","Menya neza ko ifoto ushyiraho yujuje ibisabwa byose bijyanye n'ingano (size) na format. Irembo isobanura neza ibipimo by'ifoto yemewe ku rubuga rwayo. Gerageza kugabanya ubunini bwayo ukoresheje software cyangwa application ibikora."
"Kubera iki umuntu asaba icyemezo cy'uko ari ingaragu bakamusaba kuzana icyemezo kerekana ko ari ingaragu akuye mu mudugudu?","Icyemezo cy'ubuseribateri gitangwa n'ubuyobozi bw'ibanze (Umudugudu/Akagari) kugira ngo cyemeze ko koko utarashaka. Irembo ifasha mu gusaba icyo cyemezo ariko kigomba kuba gishingiye ku makuru atangwa n'ubuyobozi bukwegereye."
"Ubusanzwe pasiporo itwara igihe kingana gute ko mbona iyanjye yatinze?","Igihe cyo kubona pasiporo gishobora gutandukana bitewe n'ubwoko bwa pasiporo wasabye n'umubare w'abandi basaba. Ushobora gukurikirana aho ubusabe bwawe bugeze kuri konti yawe ya Irembo cyangwa ukabaza ku biro by'abinjira n'abasohoka."
"Numvise ko ku Irembo mushobora kumfasha kubona diplome ifite agaciro ko mu Rwanda kuko njye nize muri Israel. Bigenda gute?","Yego, Irembo itanga serivisi yo gusaba icyemezo cy'ihwanya (equivalence) rya diplome zo mu mahanga. Injira kuri konti yawe ya Irembo, ushake iyo serivisi, hanyuma ukurikize amabwiriza yo gusaba, harimo no gutanga inyandiko zisabwa."
"Muraho! Ni gute umuntu yabona icyemezo cy'ubushinjacyaha mu gihe agikeneye?","Icyemezo cy'ubushinjacyaha gitangwa na RIB (Ikigo gishinzwe Ubufatanye n'Ukuri) kugira ngo cyemeze ko umuntu akiriho atakiriye inyandiko z'ubushinjacyaha. Ushobora gusaba icyo cyemezo kuri urubuga rwa Irembo cyangwa ukahamagara umurongo w'ubufasha wa RIB."
"Nagiye gusaba akazi muri RBA bansaba icyemezo cy'amavuko kandi njyewe nsanze acte de naissance, nayo ubwo ntibayemera?","Acte de naissance ni icyemezo cy'ubwana cyatanzwe n'ababyeyi cyangwa abazungu ba muntu wese. Irembo ifasha mu gusaba icyemezo cy'amavuko, ariko kigomba kuba gishingiye ku makuru atangwa n'ababyeyi cyangwa abazungu. Ushobora gukurikirana aho ubusabe bwawe bugeze kuri konti yawe ya Irembo cyangwa ukahamagara umurongo w'ubufasha wa Irembo ngo umenye aho bigeze."
"Mfite uruhushya rwo gutwara imodoka, ndashaka urundi ruhushya rwo gutwara moto. Ndaca mu zihe nzira?","Ushobora gusaba uruhushya rwo gutwara moto ukoresheje urubuga rwa Irembo cyangwa ukahamagara umurongo w'ubufasha wa RTRA (Ikigo gishinzwe Gutwara no Kuhagararira)."
"Mfite ikibanza kinini naguze hariya Rusororo. Ariko ndashaka kukigabanyamo kabiri hamwe nkazaturamo ahandi nkazubakamo amazu akodeshwa. Bambwiye ko mbisabira ku Irembo, mwamfasha kumenya icyo bisaba? ","Ushobora gusaba icyemezo cy'igihugu gishinzwe ubutaka kugira ngo cyemeze ko umutungo wawe utagabanywa. Injira kuri konti yawe ya Irembo, ushake serivisi yo gusaba icyemezo cy'igihugu gishinzwe ubutaka, hanyuma ukurikize amabwiriza yo gusaba, harimo no gutanga inyandiko zisabwa."
"Ndangije kwiga secondaire, ndashaka guhita nkorera perimi mu gihe ntaratangira kwiga. Mwamfasha mu nzira nanyuramo?","Ushobora gusaba perimi ukoresheje urubuga rwa Irembo cyangwa ukahamagara umurongo w'ubufasha wa RTRA (Ikigo gishinzwe Gutwara no Kuhagararira)."
"Ku kazi badusabye icyemezo cy'uko tutafunzwe. Natanze icyemezo gisanzwe nakuye muri parike umwaka ushize baracyanga. Mwamenyera neza iki cyemezo kimara igihe kingana gute mu by'ukuri ndetse n'uko nabigenza ngo mbone icyemezo gishya?","Icyemezo cy'uko tutafunzwe gishobora kuba gikenewe n'inzego zimwe na zimwe (nka kazi, ubwishingizi, n'ibindi) kugira ngo zemeze ko umuntu akiriho, cyane cyane mu bijyanye n'imicungire y'umutungo cyangwa ubwiteganyirize. Igihe cyo kwishyura icyemezo gishobora gutandukana bitewe n'inzego zikwegereye. Ushobora gukurikirana aho ubusabe bwawe bugeze kuri konti yawe ya Irembo cyangwa ukahamagara umurongo w'ubufasha wa Irembo ngo umenye aho bigeze."
"Ejo banyibye ibyangombwa byanjye birimo perimi n'indangamuntu. Ubu koko naca mu zihe nzira ngo mbone ibindi byangombwa?","Ushobora gusanga ibyangombwa byawe byose kuri konti yawe ya Irembo, cyangwa ukahamagara umurongo w'ubufasha wa Irembo kugira ngo bakurikirane ikibazo cyawe."
