"Question","Answer"
"ko ubushize nasabye icyemezo cy'uko ntafunzwe nkahita nkibona","Irembo itanga serivisi yo gusaba icyemezo cyinshinjabyaha, ushobora kuboneka vuba kandi byoroshye kumurongo. Urashobora gutanga icyifuzo cyawe ukoresheje Irembo hanyuma ukakira icyemezo vuba."
"Twasabye ibyemezo by'uko tutafunzwe njye na madamu n'umuhungu wanjye ariko bo barabibonye njye sinzi impamvu byatinze","Ndasaba kwegera ubuyobozi butanga kugirango mubaze ibijyanye no gutinda kubona ibyemezo bivuga ko wowe, umugore wawe, numuhungu wawe utafunzwe. Bashobora gutanga ibisobanuro kubibazo kandi bagafasha gukemura ibibazo byose."
"Nifuzaga kumenya aho icyangombwa cyanjye cy'ubutaka kigeze kuko twakoze mutation ukwezi gushize kandi sindabona icyangombwa cyanjye","Kugirango umenye uko icyemezo cyubutaka bwawe gihagaze nyuma ya mutation, urashobora gusura ibiro byubuyobozi bushinzwe imicungire yubutaka n’imikoreshereze (RLMUA) aho mutation yatunganyirijwe. Bazashobora kuguha amakuru agezweho kubijyanye no gutanga ibyemezo byawe."
"Mvuye mu kizamini ariko nahise nzimya machine ntabonye amanota yanjye","Niba wavuye mu kizamini utarebye amanota yawe, urashobora guhamagara umuyobozi w&#39;ikigo cyangwa ikigo kugirango usabe amanota yawe. Bashobora kuguha amakuru ukeneye."
"Kubera iki umuntu akenera icyemezo cy'uko ari ho kandi mumubona ko ari muzima?","Icyemezo kibaho, nk&#39;icyemezo cy&#39;amavuko cyangwa inyandiko iranga, akenshi bisabwa mubikorwa bitandukanye, harimo kubona serivisi za leta, gufungura konti muri banki, no gusaba ibyangombwa. Ifasha kumenya umwirondoro wumuntu no kwemererwa uburenganzira ninyungu runaka."
"Bitewe n'uko mbona serivisi z'Irembo ari ingenzi cyane kandi hano mu gace kacu nta bantu dufite badufasha kuzibona","Serivisi za Irembo zitanga urubuga rworoshye rwo kugera kuri serivisi zitandukanye za leta kumurongo mu Rwanda. Urashobora kubona byoroshye no gukoresha izi serivisi ukoresheje urubuga rwa Irembo cyangwa porogaramu igendanwa, byorohereza abantu bo mu turere twa kure kubona serivisi zingenzi badakeneye ubufasha bwumubiri."
"Nk'uko mudushikariza kwisabira serivisi ku Irembo","Nkuko tubashishikarije gusaba serivisi kumarembo, nyamuneka menye neza ko ufite ibyangombwa byose nibisobanuro byateguwe mbere kugirango byihute. Byongeye kandi, wumve neza ko wegera itsinda ryacu ryunganira abakiriya niba uhuye nikibazo cyangwa ufite ikibazo mugihe cyo gusaba."
"Kubera iki umuntu asaba icyemezo cy'uko ari ingaragu bakamusaba kuzana icyemezo kerekana ko ari ingaragu akuye mu mudugudu?","Iyo umuntu asabye icyemezo cy&#39;ubuseribateri mu Rwanda, asabwa kuzana icyemezo mu mudugudu wabo kugira ngo agenzure uko abashakanye bahagaze. Iyi nyandiko yinyongera ifasha kwemeza ukuri nukuri kwamakuru yatanzwe mugikorwa cyo gusaba."
"Ubusanzwe pasiporo itwara igihe kingana gute ko mbona iyanjye yatinze?","Igihe cyo gutunganya pasiporo mu Rwanda ni iminsi 10 y&#39;akazi. Niba pasiporo yawe ifata igihe kirenze ibi, urashobora kugenzura ninzego zibishinzwe kugirango ubaze uko ibyifuzo byawe bihagaze."
"Numvise ko ku Irembo mushobora kumfasha kubona diplome ifite agaciro ko mu Rwanda kuko njye nize muri Israel. Bigenda gute?","Nibyo, kuri Irembo urashobora gusaba kuringaniza dipolome yawe yamahanga kugirango yemeze mu Rwanda. Uzakenera gutanga ibyangombwa bikenewe hanyuma ukurikize inzira yo gusaba kugirango ubone uburinganire."
"Muraho! Ni gute umuntu yabona icyemezo cy'ubushinjacyaha mu gihe agikeneye?","Kugira ngo umuntu abone icyemezo cy&#39;umushinjacyaha mu Rwanda, umuntu ku giti cye ashobora gusura ibiro by&#39;ubushinjacyaha bikwegereye cyangwa akabaza ikigo cy&#39;igihugu gishinzwe ubushinjacyaha (NPPA) kugira ngo akuyobore ku bisabwa byihariye n&#39;uburyo agomba gukurikiza. Ni ngombwa gutanga ibyangombwa byose bikenewe hamwe namakuru kugirango ashyigikire icyifuzo cyumushinjacyaha."
"Nagiye gusaba akazi muri RBA bansaba icyemezo cy'amavuko kandi njyewe nsanze acte de naissance","Niba warabonye icyemezo cyamavuko, urashobora gukoresha serivise ya Irembo kugirango ubone icyemezo cyangwa usabe izindi kopi mugihe bikenewe kugirango usabe akazi muri RBA."
"Mfite uruhushya rwo gutwara imodoka","Niba ufite uruhushya rwo gutwara ibinyabiziga mu Rwanda, urashobora gukoresha serivisi ya Irembo kugirango uyivugurure kumurongo utiriwe usura ibiro byabiherewe uburenganzira. Sura gusa urubuga rwa Irembo cyangwa porogaramu igendanwa kugirango utangire inzira yo kuvugurura kandi ukurikize amabwiriza yatanzwe."
"Mfite ikibanza kinini naguze hariya Rusororo. Ariko ndashaka kukigabanyamo kabiri hamwe nkazaturamo ahandi nkazubakamo amazu akodeshwa. Bambwiye ko mbisabira ku Irembo","Urashobora gusaba serivisi zo kugabana ubutaka ukoresheje urubuga rwa interineti rwa Irembo. Kora konti gusa, wuzuze impapuro zikenewe, hanyuma utange ibyifuzo byawe kugirango ubyemeze. Iyi nzira izagufasha kugabana byemewe nubutaka bwawe muri Rusororo kubyo ugamije."
"Ndangije kwiga secondaire","Twishimiye kurangiza amashuri yisumbuye! Niba ushaka guteza imbere amashuri yawe, urashobora gukoresha serivisi za Irembo kugirango usabe kwinjira muri kaminuza cyangwa ugere kubindi bikoresho byuburezi mu Rwanda."
"Ku kazi badusabye icyemezo cy'uko tutafunzwe. Natanze icyemezo gisanzwe nakuye muri parike umwaka ushize baracyanga. Mwamenyera neza iki cyemezo kimara igihe kingana gute mu by'ukuri ndetse n'uko nabigenza ngo mbone icyemezo gishya?","Mu Rwanda, icyemezo cy&#39;inshinjabyaha cyakuwe mu biro by&#39;ubushinjacyaha gifite agaciro mu gihe cy&#39;amezi atandatu. Kugira ngo ubone icyemezo gishya, urashobora gusaba imwe ukoresheje serivisi za Irembo kumurongo cyangwa gusura ubushinjacyaha imbonankubone kugirango inyandiko ivuguruye."
"Ejo banyibye ibyangombwa byanjye birimo perimi n'indangamuntu. Ubu koko naca mu zihe nzira ngo mbone ibindi byangombwa?","Mbabajwe no kumva ubujura bwinyandiko zawe. Kugirango ubone abasimbuza uruhushya rwo gutwara no kwerekana indangamuntu, ugomba kumenyesha abapolisi ubujura hanyuma ugasura inzego zibishinzwe nka polisi ishinzwe umutekano wo mu muhanda uruhushya rwo gutwara ibinyabiziga ndetse n’ikigo cy’igihugu gishinzwe kumenyekanisha indangamuntu kugirango usabe abasimbuye."
