"Question","Answer"
"Ese birashoboka ko mwampindurira uwo twari kuzashakana nkashyiraho undi. Nandikishije ishyingirwa ariko uwo twari kuzashakana yarabyanze nshaka undi","Ushobora gusaba guhindura amakuru y'ubukwe unyuze kuri serivisi za Irembo."
"Ndashaka kwishyura imisoro hakiri kare bataramfungira.","Ushobora gukoresha serivisi za Irembo kwishyura imisoro hakiri kare."
"Nabonye ku mbuga zanyu mwatumenyesheje ko mushobora kudufasha gusimbuza amafoto yo ku ndangamuntu, ndasabwa iki?","Ushobora gusimbuza amafoto yo ku ndangamuntu unyuze kuri serivisi za Irembo."
"Mu kwiyandikisha kuri permit, kuki buri gihe nsangamo imyanya yo muri Busanza gusa?","Ushobora kuvugana n'ubuyobozi bwa Irembo kugira ngo bagufashe kubona imyanya ahandi."
"Maze kwishyura Traffic fine ariko nsanga n'umushoferi wanjye nawe yishyuye, ubwo ayo mafaranga turayasubizwa bigenze gute?","Ushobora kuvugana n'ubuyobozi bwa Irembo kugira ngo bagufashe kubona ayo mafaranga."
"ko ubushize nasabye icyemezo cy'uko ntafunzwe nkahita nkibona, ubu bwo kuki cyatinze? kimaze icyumweru kirenga.","Ushobora kuvugana n'ubuyobozi bwa Irembo kugira ngo bagufashe kubona icyo cyemezo."
"Twasabye ibyemezo by'uko tutafunzwe njye na madamu n'umuhungu wanjye ariko bo barabibonye njye sinzi impamvu byatinze","Ushobora kuvugana n'ubuyobozi bwa Irembo kugira ngo bagufashe kubona ibyo byemezo."
"Nifuzaga kumenya aho icyangombwa cyanjye cy'ubutaka kigeze kuko twakoze mutation ukwezi gushize kandi sindabona icyangombwa cyanjye","Ushobora kuvugana n'ubuyobozi bwa Irembo cyangwa ibiro by'ubutaka kugira ngo bamenye aho icyangombwa cyawe kigeze."
"Mvuye mu kizamini ariko nahise nzimya machine ntabonye amanota yanjye, mwamfasha kuyamenya","Ushobora kwinjira mu rubuga rwa Irembo ukareba amanota yawe cyangwa ukabaza abakozi ba Irembo."
"Kubera iki umuntu akenera icyemezo cy'uko ari ho kandi mumubona ko ari muzima?","Icyemezo cy'uko umuntu ari ho gishobora gusabwa mu gihe cyo gukemura ibibazo by'ubuzima cyangwa ibindi bibazo byihariye."
"Bitewe n'uko mbona serivisi z'Irembo ari ingenzi cyane kandi hano mu gace kacu nta bantu dufite badufasha kuzibona, ndashaka kuzajya mbikorera bagenzi. Ni gute nabona compte nanjye nkajya nsabira abantu serivisi.","Ushobora gusaba guhabwa uburenganzira bwo gufasha abandi kubona serivisi za Irembo unyuze kuri serivisi za Irembo."
"Nk'uko mudushikariza kwisabira serivisi ku Irembo, nabigerageze nsaba passport ariko ndi gushyiraho ifoto ntibikunde bakambwira ko ari nini. Ndabigenza nte?","Ushobora kugabanya ingano y'ifoto cyangwa ukayihindura mu buryo bwemewe kugira ngo ibashe kwakirwa."
"Kubera iki umuntu asaba icyemezo cy'uko ari ingaragu bakamusaba kuzana icyemezo kerekana ko ari ingaragu akuye mu mudugudu?","Icyemezo kerekana ko umuntu ari ingaragu gishobora gusabwa mu gihe cyo gushyingirwa cyangwa mu bindi bikorwa byihariye."
"Ubusanzwe pasiporo itwara igihe kingana gute ko mbona iyanjye yatinze?","Pasiporo isanzwe itwara igihe gito mu gihe ibisabwa byose byubahirijwe, ariko igihe kirashobora kwiyongera bitewe n'impamvu zitandukanye."
"Numvise ko ku Irembo mushobora kumfasha kubona diplome ifite agaciro ko mu Rwanda kuko njye nize muri Israel. Bigenda gute?","Ushobora gusaba guhabwa diplome ifite agaciro ko mu Rwanda unyuze kuri serivisi za Irembo."
"Muraho! Ni gute umuntu yabona icyemezo cy'ubushinjacyaha mu gihe agikeneye?","Ushobora gusaba icyemezo cy'ubushinjacyaha unyuze kuri serivisi za Irembo cyangwa ukagana ibiro by'ubushinjacyaha."
"Nagiye gusaba akazi muri RBA bansaba icyemezo cy'amavuko kandi njyewe nsanze acte de naissance, nayo ubwo ntibayemera?","Ushobora gusaba icyemezo cy'amavuko gishya unyuze kuri serivisi za Irembo cyangwa ukagana ibiro by'ubutaka."
"Mfite uruhushya rwo gutwara imodoka, ndashaka urundi ruhushya rwo gutwara moto. Ndaca mu zihe nzira?","Ushobora gusaba uruhushya rwo gutwara moto unyuze kuri serivisi za Irembo cyangwa ukagana ibiro by'ubutaka."
"Mfite ikibanza kinini naguze hariya Rusororo. Ariko ndashaka kukigabanyamo kabiri hamwe nkazaturamo ahandi nkazubakamo amazu akodeshwa. Bambwiye ko mbisabira ku Irembo, mwamfasha kumenya icyo bisaba?","Ushobora gusaba icyemezo cyo kugabanya ikibanza unyuze kuri serivisi za Irembo cyangwa ukagana ibiro by'ubutaka."
"Ndangije kwiga secondaire, ndashaka guhita nkorera perimi mu gihe ntaratangira kwiga. Mwamfasha mu nzira nanyuramo?","Ushobora gusaba uruhushya rwo gutwara imodoka unyuze kuri serivisi za Irembo cyangwa ukagana ibiro by'ubutaka."
"Ku kazi badusabye icyemezo cy'uko tutafunzwe. Natanze icyemezo gisanzwe nakuye muri parike umwaka ushize baracyanga. Mwamenyera neza iki cyemezo kimara igihe kingana gute mu by'ukuri ndetse n'uko nabigenza ngo mbone icyemezo gishya?","Ushobora gusaba icyemezo gishya cy'uko tutafunzwe unyuze kuri serivisi za Irembo cyangwa ukagana ibiro by'ubutaka."
"Ejo banyibye ibyangombwa byanjye birimo perimi n'indangamuntu. Ubu koko naca mu zihe nzira ngo mbone ibindi byangombwa?","Ushobora gusaba ibyangombwa bishya unyuze kuri serivisi za Irembo cyangwa ukagana ibiro by'ubutaka."
