"Question","Answer"
"Maze kwishyura Traffic fine ariko nsanga n'umushoferi wanjye nawe yishyuye, ubwo ayo mafaranga turayasubizwa bigenze gute?","Ushobora gusaba gusubizwa amafaranga wakoresheje ubwa kabiri. Uzakenera kwerekana inyemezabwishyu zombi. Duhamagare kuri 9099 cyangwa wandike kuri support@irembo.rw tukagufasha."
"ko ubushize nasabye icyemezo cy'uko ntafunzwe nkahita nkibona, ubu bwo kuki cyatinze? kimaze icyumweru kirenga.","Igihe cyo gutanga icyemezo gishobora gutandukana bitewe n'umubare w'abasaba. Ushobora kugenzura aho ubusabe bwawe bugeze ku rubuga rwacu. Niba ikibazo gikomeje, duhamagare kuri 9099."
"Twasabye ibyemezo by'uko tutafunzwe njye na madamu n'umuhungu wanjye ariko bo barabibonye njye sinzi impamvu byatinze","Buri busabe bugenzurwa ukwabwo. Ushobora kugenzura aho ubusabe bwawe bugeze ku rubuga rwacu. Niba ikibazo gikomeje, duhamagare kuri 9099 tukagufasha."
"Nifuzaga kumenya aho icyangombwa cyanjye cy'ubutaka kigeze kuko twakoze mutation ukwezi gushize kandi sindabona icyangombwa cyanjye","Ushobora kugenzura aho ubusabe bwawe bugeze ukoresheje numero ya dosiye yawe ku rubuga rwacu. Niba ikibazo gikomeje, duhamagare kuri 9099 tukagufasha."
"Mvuye mu kizamini ariko nahise nzimya machine ntabonye amanota yanjye, mwamfasha kuyamenya","Amanota yawe abikwa mu buryo bw'ikoranabuhanga. Ushobora kwinjira ku konti yawe ya Irembo ukareba amanota yawe. Niba ukomeza kugira ibibazo, duhamagare kuri 9099."
"Kubera iki umuntu akenera icyemezo cy'uko ari ho kandi mumubona ko ari muzima?","Icyemezo cy'uko umuntu ari ho gisabwa mu bikorwa bimwe na bimwe by'amategeko nk'izungura, cyangwa ibikorwa bya banki. Ni ngombwa kugira ngo hatagira uwiyitirira undi."
"Bitewe n'uko mbona serivisi z'Irembo ari ingenzi cyane kandi hano mu gace kacu nta bantu dufite badufasha kuzibona, ndashaka kuzajya mbikorera bagenzi. Ni gute nabona compte nanjye nkajya nsabira abantu serivisi.","Ushobora gusaba kuba umufasha wa Irembo ukandikira kuri agents@irembo.rw. Tuzakoherereza amakuru ajyanye n'ibisabwa n'uburyo bwo kwiyandikisha."
"Nk'uko mudushikariza kwisabira serivisi ku Irembo, nabigerageze nsaba passport ariko ndi gushyiraho ifoto ntibikunde bakambwira ko ari nini. Ndabigenza nte?","Ifoto yawe igomba kuba ifite ingano itarenze 2MB kandi iri mu buryo bwa JPG cyangwa PNG. Ushobora kuyigabanya ukoresheje porogaramu zo kugabanya amashusho mbere yo kongera kuyigerageza."
"Kubera iki umuntu asaba icyemezo cy'uko ari ingaragu bakamusaba kuzana icyemezo kerekana ko ari ingaragu akuye mu mudugudu?","Icyemezo cy'umudugudu ni kimwe mu byangombwa ngombwa bisabwa kugira ngo hakorwe isuzuma ryuzuye mbere yo gutanga icyemezo cy'uko umuntu ari ingaragu."
"Ubusanzwe pasiporo itwara igihe kingana gute ko mbona iyanjye yatinze?","Pasiporo isanzwe itwara iminsi 5-7 y'akazi. Ariko igihe gishobora kuba kirekire bitewe n'umubare w'abasaba. Ushobora kugenzura aho ubusabe bwawe bugeze ku rubuga rwacu."
"Numvise ko ku Irembo mushobora kumfasha kubona diplome ifite agaciro ko mu Rwanda kuko njye nize muri Israel. Bigenda gute?","Kugira ngo diplome yawe yo mu mahanga yemerwe mu Rwanda, ugomba gusaba icyemezo cy'iyemerwa mu Kigo cy'Igihugu Gishinzwe Uburezi (REB). Ushobora gutangira ukoresheje Irembo."
"Muraho! Ni gute umuntu yabona icyemezo cy'ubushinjacyaha mu gihe agikeneye?","Ushobora gusaba icyemezo cy'ubushinjacyaha ukoresheje Irembo. Injira ku rubuga rwacu, ukore konti, uhitemo iyo serivisi, wuzuze amakuru asabwa, wishyure amafaranga asabwa, hanyuma utegereze icyemezo cyawe."
"Nagiye gusaba akazi muri RBA bansaba icyemezo cy'amavuko kandi njyewe nsanze acte de naissance, nayo ubwo ntibayemera?","Acte de naissance n'icyemezo cy'amavuko ni ibintu bibiri bitandukanye. Ushobora gusaba icyemezo cy'amavuko gishya ukoresheje Irembo kugira ngo kibe cyujuje ibisabwa."
"Mfite uruhushya rwo gutwara imodoka, ndashaka urundi ruhushya rwo gutwara moto. Ndaca mu zihe nzira?","Ushobora gusaba uruhushya rwo gutwara moto ukoresheje Irembo. Uzakenera kwiyandikisha mu ishuri ryo gutwara ibinyabiziga, gutsinda ikizamini, no kwishyura amafaranga asabwa."
"Mfite ikibanza kinini naguze hariya Rusororo. Ariko ndashaka kukigabanyamo kabiri hamwe nkazaturamo ahandi nkazubakamo amazu akodeshwa. Bambwiye ko mbisabira ku Irembo, mwamfasha kumenya icyo bisaba?","Kugira ngo ugabanye ikibanza, uzakenera gusaba uruhushya rwo kugabanya ubutaka. Uzakenera ibyangombwa by'ubutaka, igenamigambi ry'ahazubakwa, no kwishyura amafaranga asabwa."
"Ndangije kwiga secondaire, ndashaka guhita nkorera perimi mu gihe ntaratangira kwiga. Mwamfasha mu nzira nanyuramo?","Kugira ngo ubone perimi, ugomba kuba ufite nibura imyaka 18, kwiyandikisha mu ishuri ryo gutwara ibinyabiziga, gutsinda ibizamini byombi (inyandiko n'ibikorwa), no kwishyura amafaranga asabwa."
"Ku kazi badusabye icyemezo cy'uko tutafunzwe. Natanze icyemezo gisanzwe nakuye muri parike umwaka ushize baracyanga. Mwamenyera neza iki cyemezo kimara igihe kingana gute mu by'ukuri ndetse n'uko nabigenza ngo mbone icyemezo gishya?","Icyemezo cy'uko umuntu atafunzwe kimara amezi 6 gusa. Ushobora gusaba icyemezo gishya ukoresheje Irembo. Injira ku rubuga rwacu, uhitemo iyo serivisi, wuzuze amakuru asabwa, wishyure amafaranga asabwa."
"Ejo banyibye ibyangombwa byanjye birimo perimi n'indangamuntu. Ubu koko naca mu zihe nzira ngo mbone ibindi byangombwa?","Ugomba kubanza gutanga raporo y'ubujura muri polisi. Nyuma ushobora gusaba ibyangombwa bishya ukoresheje Irembo. Uzakenera kwerekana kopi ya raporo y'ubujura n'inyemezabwishyu y'amafaranga asabwa."
